Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
55,52,2020-02-20,30-178,HOU,@,GSW,W (+30),1,30:10,6,16,.375,3,12,.250,14,15,.933,0,3,3,10,3,2,1,3,29,29.9,+32
56,53,2020-02-22,30-180,HOU,@,UTA,W (+10),1,37:08,13,23,.565,6,11,.545,6,9,.667,1,4,5,7,2,1,3,3,38,31.2,+24
57,54,2020-02-24,30-182,HOU,,NYK,W (+11),1,33:52,14,25,.560,4,11,.364,5,9,.556,2,4,6,9,2,0,6,3,37,27.2,+3
58,55,2020-02-26,30-184,HOU,,MEM,W (+28),1,28:01,9,16,.563,7,12,.583,5,6,.833,2,5,7,3,1,0,5,4,30,21.4,+7
59,56,2020-02-29,30-187,HOU,@,BOS,W (+1),1,40:57,7,24,.292,4,17,.235,3,3,1.000,0,4,4,8,3,0,5,3,21,10.6,+9
60,57,2020-03-02,30-189,HOU,@,NYK,L (-2),1,39:08,8,22,.364,3,13,.231,16,16,1.000,1,1,2,8,4,0,3,4,35,28.8,+9
61,58,2020-03-05,30-192,HOU,,LAC,L (-15),1,27:57,4,17,.235,0,8,.000,8,11,.727,0,7,7,4,1,0,4,3,16,5.2,-19
62,59,2020-03-07,30-194,HOU,@,CHO,L (-9),1,45:18,8,22,.364,2,11,.182,12,14,.857,1,9,10,14,2,0,10,5,30,20.2,-9
63,60,2020-03-08,30-195,HOU,,ORL,L (-20),1,32:15,6,19,.316,3,10,.300,8,10,.800,2,5,7,6,3,0,4,3,23,16.2,-15
64,61,2020-03-10,30-197,HOU,,MIN,W (+6),1,35:50,11,19,.579,5,10,.500,10,14,.714,0,4,4,7,2,1,3,1,37,31.9,-5
65,62,2020-07-31,30-340,HOU,@,DAL,W (+4),1,43:29,14,20,.700,3,9,.333,18,21,.857,0,9,9,8,3,3,1,5,49,49.8,+8
66,63,2020-08-02,30-342,HOU,,MIL,W (+4),1,34:13,5,14,.357,3,12,.250,11,13,.846,1,6,7,7,6,0,3,5,24,23.8,-7
67,64,2020-08-04,30-344,HOU,@,POR,L (-8),1,33:26,7,17,.412,3,8,.375,6,7,.857,3,3,6,9,0,0,4,5,23,16.8,-8
68,65,2020-08-06,30-346,HOU,,LAL,W (+16),1,35:38,11,19,.579,5,10,.500,12,12,1.000,1,7,8,12,3,1,10,2,39,34.2,+16
69,66,2020-08-09,30-349,HOU,@,SAC,W (+17),1,32:51,10,21,.476,3,12,.250,9,9,1.000,0,8,8,7,3,1,4,1,32,27.9,+24
71,67,2020-08-12,30-352,HOU,,IND,L (-4),1,35:28,13,21,.619,7,14,.500,12,14,.857,1,16,17,9,3,0,6,2,45,42.7,+11
72,68,2020-08-14,30-354,HOU,,PHI,L (-38),1,26:17,9,16,.563,4,9,.444,5,5,1.000,0,3,3,10,1,2,7,1,27,22.3,-11
1,1,2020-12-26,31-122,HOU,@,POR,L (-2),1,43:16,12,21,.571,6,13,.462,14,16,.875,1,3,4,17,1,0,5,1,44,42.4,-6
2,2,2020-12-28,31-124,HOU,@,DEN,L (-13),1,31:29,10,16,.625,5,9,.556,9,9,1.000,0,6,6,8,1,0,5,2,34,29.4,-12
3,3,2020-12-31,31-127,HOU,,SAC,W (+3),1,38:18,10,24,.417,4,11,.364,9,11,.818,2,4,6,8,1,1,6,2,33,22.5,+8
